,Source,Target
2369,Nobody understands me.,আমাকে কেউ বোঝে না।
3463,Do you understand what I mean?,আমি কী বলতে চাইছি তুমি বুঝতে পারছো?
4377,"I thought doing this would be easy, but we've been working all day and we're still not finished.","আমি ভেবেছিলাম এটা করা সহজ হবে, কিন্তু আমরা সারাদিন ধরে কাজ করেছি আর এখনো শেষ করে উঠতে পারিনি।"
3560,How do you pronounce this word?,এই শব্দটির উচ্চারণ কিভাবে করতে হয়?
1018,My name is Tom.,আমার নাম টম।
3427,The museum is closed Sundays.,জাদুঘরটা রবিবার বন্ধ থাকে।
3406,I'm catching the 11:00 train.,আমি ১১ঃ০০টার ট্রেনটা ধরতে যাচ্ছি।
1871,That's a good idea!,খুব ভাল বুদ্ধি!
3234,"I'm a little busy here, Tom.","টম, আমি এখানে একটু ব্যস্ত আছি।"
3818,I had a horrible dream last night.,কাল রাতে আমি একটা বীভৎস স্বপ্ন দেখেছি।
2396,Tom died last October.,টম গত অক্টোবর মারা গেছে।
1793,He lives near here.,ও কাছাকাছিই থাকে।
556,I don't cry.,আমি কাঁদি না।
1831,I'm ready to begin.,আমি শুরু করার জন্য তৈরি।
2955,She got sick this weekend.,গত সপ্তাহের শেষের দিকে ও অসুস্থ হয়ে পরেছিলো।
658,Who are you?,আপনি কে?
2373,She's my older sister.,ও আমার দিদি।
640,Tom saw you.,টম আপনাদের দেখলো।
2753,Can I pay by credit card?,আমি কি ক্রেডিট কার্ড দিয়ে দাম দিতে পারি?
59,Go away!,চলে যাও!
3200,I thought Tom was in danger.,আমি ভেবেছিলাম টম বিপদে পরেছে।
342,Watch Tom.,টমের উপর নজর রাখুন।
769,We're inside.,আমরা ভেতরে আছি।
748,Tom saw them.,টম তাদের দেখলো।
2885,Could you show Tom around?,আপনি কি টমকে চারপাশটা দেখিয়ে আনতে পারবেন?
4017,Tell Tom that I'm still in a meeting.,টমকে বলুন যে আমি এখনও মিটিংএ রয়েছি।
1930,Why did this occur?,এটা কেনো ঘটলো?
594,I'm dancing.,আমি নাচছি।
2770,Don't you have a bicycle?,আপনার কি সাইকেল নেই?
1521,My father is out.,আমার বাবা বাইরে।
3603,This can't wait until tomorrow.,এটা আগামীকাল অবধি অপেক্ষা করতে পারবে না।
2353,Keep Tom away from me.,টমকে আমার থেকে দূরে রাখো।
4048,I know a store where you can buy that.,আমি একটা দোকান চিনি যেখান থেকে তুমি ওইটা কিনতে পারবে।
620,Tom frowned.,টম ভ্রূকুটি করলো।
2398,Tom grew up in Boston.,টম বস্টনে বড়ো হয়েছে।
693,Hold my hand.,আমার হাতটা ধরুন।
322,Sign here.,এখানে সই করুন।
365,You drive.,আপনিই চালান।
2297,He hasn't arrived yet.,সে এখনো এসে পৌছায়নি।
3730,He doesn't want to talk about it.,ইনি এই বিষয় কথা বলতে চান না।
1620,Call the hospital.,হাসপাতালে ফোন করুন।
2870,"You can dance, can't you?","আপনি নাচতে পারেন, তাই না?"
1543,That's my sister.,ওটা আমার বোন।
2565,This is very good soil.,এটা খুব ভালো মাটি।
2206,This will cost €30.,এটার দাম পড়বে €৩০।
3011,You need a new girlfriend.,তোমার এখন একটা নতুন বান্ধবী চাই।
4055,She has very nice-looking handwriting.,ওনার হাতের লেখা দেখতে খুব সুন্দর।
295,I'm sorry.,ক্ষমা করবেন।
2849,We will be at home today.,আমরা আজ বাড়িতেই থাকব।
3408,I'm sorry I kept you waiting.,আমাকে ক্ষমা করবেন আমি আপনাকে অপেক্ষা করিয়ে রেখেছিলাম।
691,He is eating.,সে খাচ্ছে।
3119,You are always complaining.,তুমি সবসময় অভিযোগ কর।
3540,You can eat anything you want.,আপনার যেটা ইচ্ছে হয় সেটা খেতে পারেন।
111,Tom ran.,টম দৌড়াল।
741,This is mine.,এটা আমার।
1354,Tom came inside.,টম ভেতরে এলো।
1161,I can manage it.,আমি এটা সামলে নিতে পারি।
290,I'm broke.,আমি দেউলিয়া হয়ে গেছি।
1053,Tom lives here.,টম এখানে থাকে।
3344,You must show your passport.,আপনাকে পাসপোর্ট দেখাতে হবে।
1830,I'm reading it now.,আমি সেটা এখন পড়ছি।
4021,Tom came back to Boston last October.,টম গত অক্টোবর বস্টনে ফিরে এসেছে।
2351,Just try to keep calm.,একটু শান্ত থাকার চেষ্টা কর।
2129,Have you finished it?,তোমাদের ওটা করা হয়ে গেছে?
1133,Give Tom a kiss.,টমকে একটা চুমু দিন।
2400,Tom is very religious.,টম খুব ধার্মিক।
1657,I have a headache.,আমার মাথা ধরেছে।
2866,Where can I buy a ticket?,আমি টিকিট কোথা থেকে কিনতে পারব?
2584,We can finish it later.,আমরা এটা পরেও শেষ করতে পারি।
114,Wake up.,ঘুম থেকে ওঠ।
346,We forgot.,আমরা ভুলে গেলাম।
2878,Your book is on the desk.,তোমার বই ডেস্কের উপর রয়েছে।
3686,Our native language is Japanese.,আমাদের মাতৃভাষা জাপানী।
3610,Those roses are very beautiful.,ওই গোলাপ ফুলগুলো খুব সুন্দর।
2739,What time does it close?,কটার সময এটা বন্ধ হয়?
86,Hit Tom.,টমকে মার।
2038,They were all happy.,ওনারা সবাই খুশি ছিলেন।
3613,Tom hardly ever keeps his word.,টম খুব কমই ওর কথা রাখে।
3403,I'd like to cancel my ticket.,আমি আমার টিকিটটি বাতিল করতে চাই।
3182,I don't want to talk to Tom.,আমি টমের সঙ্গে কথা বলতে চাই না।
3640,Do you have Japanese newspapers?,আপনার কাছে কি জাপানী খবরের কাগজ আছে?
1662,I saw him running.,আমি তাকে দৌড়াতে দেখেছিলাম।
